name,source,gender,wikidata,type
Aalstraße,wikidata,,Q26387,way
Bännjerstraße,wikidata,,Q631166,way
"Breslauer Straße",wikidata,,Q1799,way
Emmagasse,wikidata,,Q541194,way
Esperantostraße,wikidata,,Q143,way
Fliederweg,wikidata,,Q157449,way
"Gleiwitzer Straße",wikidata,,Q105084,way
"Greifswalder Straße",wikidata,,Q4098,way
Lutrinastraße,wikidata,,Q48754987,way
Merkurstraße,wikidata,,Q1150,way
"Sickinger Straße",wikidata,,Q2281560,way
Siegfriedstraße,wikidata,,Q537554,way
"Wartenberger Weg",wikidata,,Q875753,way
"10th Avenue",,,,way
"5th Avenue",,,,way
"6th Avenue",,,,way
Adam-Hoffmann-Straße,,,,way
Adolfstraße,,,,way
Adrian-Pletsch-Straße,,,,way
Ahornweg,,,,way
Akazienweg,,,,way
Aktienstraße,,,,way
"Alabama Circle",,,,way
"Alabama Street",,,,way
"Alaska Circle",,,,way
"Alaska Drive",,,,way
Alemannenstraße,,,,way
Alleestraße,,,,way
Almenweg,,,,way
"Alte Brücke",,,,way
"Alte Hohl",,,,way
"Alte Pirmasenser Straße",,,,way
"Alte Schmiede",,,,way
"Alte Ziegelei",,,,way
Altenhof,,,,way
Altenwoogstraße,,,,way
"Altes Forsthaus",,,,way
Altwiesstraße,,,,way
"Am Abendsberg",,,,way
"Am Alberichsberg",,,,way
"Am Alten Friedhof",,,,way
"Am Altenhof",,,,way
"Am Belzappel",,,,way
"Am Berg",,,,way
"Am Bild",,,,way
"Am Blutacker",,,,way
"Am Brunnenberg",,,,way
"Am Buchenwald",,,,way
"Am Engelshof",,,,way
"Am Eselsbach",,,,way
"Am Fischerrück",,,,way
"Am Franzosenstein",,,,way
"Am Glasberg",,,,way
"Am Glockenturm",,,,way
"Am Gottesacker",,,,way
"Am Gusswerk",,,,way
"Am Haberbrünnchen",,,,way
"Am Hallergarten",,,,way
"Am Hammerweiher",,,,way
"Am Handballplatz",,,,way
"Am Hang",,,,way
"Am Harzhübel",,,,way
"Am Heiligenhäuschen",,,,way
"Am Herrenzaun",,,,way
"Am Hinkelstein",,,,way
"Am Höfchen",,,,way
"Am Hühnerbusch",,,,way
"Am Jörgsbild",,,,way
"Am Kiefernkopf",,,,way
"Am Krehberg",,,,way
"Am Landgraben",,,,way
"Am Langen Stein",,,,way
"Am Matzenberg",,,,way
"Am Mühlberg",,,,way
"Am Mühlpfad",,,,way
"Am Nussbäumchen",,,,way
"Am Obergarten",,,,way
"Am Oberhof",,,,way
"Am Rabenfels",,,,way
"Am Rangierbahnhof",,,,way
"Am Röhrbrunnen",,,,way
"Am Sandhübel",,,,way
"Am Schänzchen",,,,way
"Am Schlachtenturm",,,,way
"Am Schlagbaum",,,,way
"Am Schlehhof",,,,way
"Am Schlittweg",,,,way
"Am Schlosshübel",,,,way
"Am Schmiedeturm",,,,way
"Am Schulhaus",,,,way
"Am Schwanenweiher",,,,way
"Am Specht",,,,way
"Am Sportplatz",,,,way
"Am Steinhübel",,,,way
"Am Stollen",,,,way
"Am Stromberg",,,,way
"Am Turnerheim",,,,way
"Am Vogelgesang",,,,way
"Am Wäldchen",,,,way
"Am Waldschlösschen",,,,way
"Am Warmfreibad",,,,way
"Am Weidengarten",,,,way
"Am Wingertsberg",,,,way
"Am Woogdamm",,,,way
"Am Wurzelwoog",,,,way
"Am Zimmermannskreuz",,,,way
Amalienstraße,,,,way
Amphitheater,,,,way
Amselstraße,,,,way
"An der Burghalde",,,,way
"An der Emilsruhe",,,,way
"An der Feuerwache",,,,way
"An der Galappmühle",,,,way
"An der Kalause",,,,way
"An der Lokhalle",,,,way
"An der Schanz",,,,way
"An der Sommerhalde",,,,way
"An der Steige",,,,way
"An der Turnhalle",,,,way
Apfelstraße,,,,way
Appenthal,,,,way
"Arizona Boulevard",,,,way
"Arkansas Street",,,,way
Assenmacherstraße,,,,way
Asternweg,,,,way
Ätzweide,,,,way
"Auf dem Bännjerrück",,,,way
"Auf dem Kästenberg",,,,way
"Auf dem Sess",,,,way
"Auf den Gärten",,,,way
"Auf der Brücke",,,,way
"Auf der Hohl",,,,way
"Auf der Pirsch",,,,way
"Auf der Rott",,,,way
"Auf der Vogelweide",,,,way
"Auf der Weilerbacher Brücke",,,,way
August-Herrmann-Straße,,,,way
"Baalborner Weg",,,,way
Bachstraße,,,,way
Bäckerstraße,,,,way
Badstraße,,,,way
Badweiherstraße,,,,way
Bahnheim,,,,way
Bahnhofstraße,,,,way
Bartholomäusring,,,,way
Basteigasse,,,,way
Baumschulstraße,,,,way
Baumstraße,,,,way
Beilsteinstraße,,,,way
Bendergasse,,,,way
"Bergbrunner Kopf",,,,way
Bergstraße,,,,way
"Berliner Straße",,,,way
Bienengarten,,,,way
Bienenstraße,,,,way
Bierstraße,,,,way
Birgit-Reinert-Straße,,,,way
Birkengasse,,,,way
Birnstraße,,,,way
Blechhammerweg,,,,way
Bleichstraße,,,,way
Bliesstraße,,,,way
Blumenstraße,,,,way
Blütenweg,,,,way
Böckingstraße,,,,way
"Brandenburger Straße",,,,way
"Breidenborner Straße",,,,way
Breitenäcker,,,,way
"Breitenauer Straße",,,,way
Bremerhof,,,,way
Bremerstraße,,,,way
Brotpfad,,,,way
Brüchling,,,,way
Bruchstraße,,,,way
Brüderstraße,,,,way
Brunnenhübel,,,,way
Brunnenring,,,,way
Brunnenstraße,,,,way
"Brüsseler Straße",,,,way
Buchberg,,,,way
Buchenheckenstraße,,,,way
Buchenlochstraße,,,,way
Buchfinkstraße,,,,way
Bunkyo-Ku-Straße,,,,way
Burggraben,,,,way
Burgherrenstraße,,,,way
Burgstraße,,,,way
Burgunderstraße,,,,way
"California Avenue",,,,way
Carl-Billand-Straße,,,,way
Carl-Denk-Straße,,,,way
Carl-Diem-Straße,,,,way
Carl-Jacob-Straße,,,,way
Carl-Reichert-Straße,,,,way
Carmerstraße,,,,way
"Carolina Avenue",,,,way
"Colorado Avenue",,,,way
"Colorado Place",,,,way
Columbia-Straße,,,,way
"Connecticut Avenue",,,,way
Conradstraße,,,,way
"DFKI Plaza",,,,relation
Dachsdelle,,,,way
"Daenner Kaserne",,,,way
Dahlienweg,,,,way
Dammühle,,,,way
"Dansenberger Straße",,,,way
"Danziger Straße",,,,way
"Dauborner Weg",,,,way
Davenportplatz,,,,way
"Delaware Loop",,,,way
"Dessauer Straße",,,,way
Deutschherrnstraße,,,,way
Distelstraße,,,,way
